miRNA	Estimate	StdError	tValue	pValue	Disease	nRgene
hsa-miR-30e-5p	-1.21683816231281	0.301964284053935	-4.02974201444123	8.703291396345e-05	ESCA	GRIA2
hsa-miR-182-5p	-1.18292047226882	0.58886508028568	-2.00881409319593	0.0463274741207225	ESCA	GRID1
hsa-miR-148b-3p	-1.46514083741249	0.411770049022482	-3.5581530052772	0.000507203303281055	ESCA	GRID2
hsa-let-7i-5p	-0.27016254297123	0.12623488210257	-2.14015760518328	0.034062955345734	ESCA	GRIK2
hsa-miR-130b-3p	-0.291363045440849	0.0734049544359184	-3.96925585854298	0.000114395108354189	ESCA	GRIK2
hsa-miR-16-5p	-1.36332741346231	0.227728686593253	-5.98663011611422	1.39041824997298e-08	ESCA	GRIN1
hsa-miR-330-5p	-0.377306225448709	0.110496088937833	-3.41465683605317	0.000811659988297974	ESCA	GRIN1
hsa-miR-338-3p	-0.165729672220932	0.0592633727630388	-2.79649409903807	0.00580783608929117	ESCA	GRIN1
hsa-miR-320a	-0.584754792420799	0.236713962470636	-2.47030122903434	0.0148590250016858	ESCA	GRIN2A
hsa-miR-30a-5p	-0.277106734346679	0.135668380199102	-2.04252998333147	0.0432189744626485	ESCA	GRIN2A
hsa-miR-128-3p	-0.215296064974626	0.0610676414974455	-3.52553430418025	0.000550577403468162	ESCA	GRIN2D
hsa-miR-33a-5p	-0.215317412826217	0.0673814891074185	-3.19549798733242	0.0016763573784112	ESCA	GRM8
hsa-miR-24-3p	-0.283224102963736	0.131228262600081	-2.15825537389658	0.0323362009264433	ESCA	HRH1
hsa-miR-26b-5p	-0.406018013689003	0.177850402091715	-2.28291872783974	0.0238992629531393	ESCA	HTR2A
hsa-miR-23b-3p	-0.465079455945024	0.179112239559212	-2.59658109959189	0.0103460437299501	ESCA	HTR2C
hsa-miR-31-5p	-0.181606307276882	0.0385151839692576	-4.7151873251297	5.06967815395104e-06	ESCA	OPRL1
hsa-let-7g-5p	-1.54981924563815	0.460781581952615	-3.36345745216337	0.000964553183549437	ESCA	P2RX1
hsa-let-7d-5p	-1.11597686257582	0.45904857090376	-2.431064887924	0.0161660615136499	ESCA	P2RX1
hsa-miR-29a-3p	-0.739621118234761	0.24317513103316	-3.04151627303495	0.00273895195364035	ESCA	P2RX5
hsa-miR-26b-5p	-0.994563047947862	0.383097782442238	-2.59610755668579	0.0103176843305101	ESCA	P2RY1
hsa-miR-15b-5p	-0.596998448911018	0.134300515878506	-4.445243154919	1.09296600261537e-05	HNSC	ADORA2A
hsa-miR-15a-5p	-0.311095098550208	0.139465268543828	-2.23062775268987	0.0261700764142311	HNSC	ADORA2A
hsa-miR-374b-5p	-0.165807092033738	0.0534890765234854	-3.09983089651843	0.00205056265964973	HNSC	ADORA2B
hsa-miR-30d-5p	-0.193794047691836	0.064904600604258	-2.98582913826794	0.0029732096039565	HNSC	ADRA1D
hsa-let-7i-5p	-0.299798078952328	0.0679925552632014	-4.40927801274419	1.29620952037771e-05	HNSC	ADRB1
hsa-miR-199b-3p	-14.4839616605587	7.05411032607955	-2.0532655417949	0.040619239348883	HNSC	ADRB1
hsa-let-7g-5p	-0.670330489995002	0.20835137261307	-3.21730776998468	0.00138373598799225	HNSC	ADRB2
hsa-miR-15b-5p	-0.305658545843788	0.136099907944948	-2.24583947527302	0.0251801044741085	HNSC	ADRB2
hsa-miR-15a-5p	-0.412200215065967	0.142059309562205	-2.90160649334616	0.003887590152796	HNSC	ADRB2
hsa-miR-30e-5p	-0.69542878026532	0.263469101134019	-2.63950792435267	0.0085883673075315	HNSC	CHRM3
hsa-miR-30a-5p	-0.636274732778315	0.149050345831372	-4.2688578092812	2.39356619840263e-05	HNSC	CHRM3
hsa-miR-30b-5p	-1.08899894605557	0.268836403545747	-4.05078676731464	6.00330440699798e-05	HNSC	CHRM3
hsa-miR-199a-3p	-75.4114780093139	34.2704095948851	-2.20048370885445	0.0282754804146681	HNSC	CHRM3
hsa-miR-181d-5p	-0.584069045716624	0.224963651032406	-2.59628185725208	0.00972944756199931	HNSC	CHRM3
